Time,IR_Left,IR_Right,PID_P,PID_I,PID_D,Bumper,Location
0.31,0,3,0.018,0.0009,0.0045,FALSE,Wall
0.85,3,1,0.016,0.0017,-0.0005,FALSE,Wall
1.44,0,5,0.014,0.0024,-0.0005,FALSE,Wall
1.98,5,0,0.014,0.0031,0,FALSE,Wall
2.47,2,1,0.018,0.004,0.001,FALSE,Wall
3.06,1,0,0.022,0.0051,0.001,FALSE,Wall
3.55,9,2,0.002,0.0052,-0.005,FALSE,Wall
4.05,17,2,-0.014,0.0045,-0.004,FALSE,Wall
4.59,22,1,-0.022,0.0034,-0.002,FALSE,Wall
5.13,25,2,-0.03,0.0019,-0.002,FALSE,Wall
5.62,10,1,0.002,0.002,0.008,FALSE,Wall
6.34,0,4,0.016,0.0028,0.0035,FALSE,Wall
6.84,8,2,0.004,0.003,-0.003,FALSE,Wall
7.38,23,1,-0.024,0.0018,-0.007,FALSE,Wall
7.92,42,3,-0.066,-0.0015,-0.0105,FALSE,Wall
8.46,5,1,0.012,-0.0009,0.0195,FALSE,Wall
8.95,4,0,0.016,-0.0001,0.001,FALSE,Wall
9.49,6,2,0.008,0.0003,-0.002,FALSE,Wall
10.03,20,2,-0.02,-0.0007,-0.007,FALSE,Wall
10.57,41,0,-0.058,-0.0036,-0.0095,FALSE,Wall
11.11,8,2,0.004,-0.0034,0.0155,FALSE,Wall
11.79,4,0,0.016,-0.0026,0.003,FALSE,Wall
12.37,5,1,0.012,-0.002,-0.001,FALSE,Wall
12.87,13,0,-0.002,-0.0021,-0.0035,FALSE,Wall
13.36,25,2,-0.03,-0.0036,-0.007,FALSE,Wall
13.95,9,0,0.006,-0.0033,0.009,FALSE,Wall
14.58,0,3,0.018,-0.0024,0.003,FALSE,Wall
15.07,2,3,0.014,-0.0017,-0.001,FALSE,Wall
15.61,14,0,-0.004,-0.0019,-0.0045,FALSE,Wall
16.15,17,3,-0.016,-0.0027,-0.003,FALSE,Wall
16.69,11,1,0,-0.0027,0.004,FALSE,Wall
17.19,5,3,0.008,-0.0023,0.002,FALSE,Wall
17.68,7,0,0.01,-0.0018,0.0005,FALSE,Wall
18.27,20,1,-0.018,-0.0027,-0.007,FALSE,Wall
18.85,36,2,-0.052,-0.0053,-0.0085,FALSE,Wall
19.39,6,3,0.006,-0.005,0.0145,FALSE,Wall
